,0,1,2,3,4
198,198,A1,A1,C4,A4
199,199,A1,A1,C4,TX
200,200,A1,A1,C4,B1
201,201,A1,A1,C4,B2
202,202,A1,A1,C4,B3
203,203,A1,A1,C4,B4
204,204,A1,A1,C4,TY
205,205,A1,A1,C4,C1
206,206,A1,A1,C4,C2
207,207,A1,A1,C4,C3
208,208,A1,A1,C4,C4
209,209,A1,A1,C4,TZ
210,210,A1,A1,TZ,A1
211,211,A1,A1,TZ,A2
212,212,A1,A1,TZ,A3
213,213,A1,A1,TZ,A4
214,214,A1,A1,TZ,TX
215,215,A1,A1,TZ,B1
216,216,A1,A1,TZ,B2
217,217,A1,A1,TZ,B3
218,218,A1,A1,TZ,B4
219,219,A1,A1,TZ,TY
220,220,A1,A1,TZ,C1
221,221,A1,A1,TZ,C2
222,222,A1,A1,TZ,C3
223,223,A1,A1,TZ,C4
224,224,A1,A1,TZ,TZ
225,225,A1,A2,A1,A1
226,226,A1,A2,A1,A2
227,227,A1,A2,A1,A3
228,228,A1,A2,A1,A4
229,229,A1,A2,A1,TX
230,230,A1,A2,A1,B1
231,231,A1,A2,A1,B2
232,232,A1,A2,A1,B3
233,233,A1,A2,A1,B4
234,234,A1,A2,A1,TY
235,235,A1,A2,A1,C1
236,236,A1,A2,A1,C2
237,237,A1,A2,A1,C3
238,238,A1,A2,A1,C4
239,239,A1,A2,A1,TZ
240,240,A1,A2,A2,A1
241,241,A1,A2,A2,A2
242,242,A1,A2,A2,A3
243,243,A1,A2,A2,A4
244,244,A1,A2,A2,TX
245,245,A1,A2,A2,B1
246,246,A1,A2,A2,B2
247,247,A1,A2,A2,B3
248,248,A1,A2,A2,B4
249,249,A1,A2,A2,TY
250,250,A1,A2,A2,C1
251,251,A1,A2,A2,C2
252,252,A1,A2,A2,C3
253,253,A1,A2,A2,C4
254,254,A1,A2,A2,TZ
255,255,A1,A2,A3,A1
256,256,A1,A2,A3,A2
257,257,A1,A2,A3,A3
258,258,A1,A2,A3,A4
259,259,A1,A2,A3,TX
260,260,A1,A2,A3,B1
261,261,A1,A2,A3,B2
262,262,A1,A2,A3,B3
263,263,A1,A2,A3,B4
264,264,A1,A2,A3,TY
265,265,A1,A2,A3,C1
266,266,A1,A2,A3,C2
267,267,A1,A2,A3,C3
268,268,A1,A2,A3,C4
269,269,A1,A2,A3,TZ
270,270,A1,A2,A4,A1
271,271,A1,A2,A4,A2
272,272,A1,A2,A4,A3
273,273,A1,A2,A4,A4
274,274,A1,A2,A4,TX
275,275,A1,A2,A4,B1
276,276,A1,A2,A4,B2
277,277,A1,A2,A4,B3
278,278,A1,A2,A4,B4
279,279,A1,A2,A4,TY
